New York Community Bancorp, Inc.	0.06%
Olin Corporation	0.06%
Helmerich & Payne, Inc.	0.06%
First American Financial Corporation	0.06%
SCANA Corporation	0.06%
Lazard Ltd Class A	0.06%
Vectren Corporation	0.06%
Cullen/Frost Bankers, Inc.	0.06%
Eaton Vance Corp.	0.06%
Reliance Steel & Aluminum Co.	0.06%
Macquarie Infrastructure Corporation	0.06%
MDU Resources Group, Inc.	0.05%
Cypress Semiconductor Corporation	0.05%
Brighthouse Financial, Inc.	0.05%
H&R Block, Inc.	0.05%
Ralph Lauren Corporation Class A	0.05%
Watsco, Inc.	0.05%
Sonoco Products Company	0.05%
Mattel, Inc.	0.05%
Old Republic International Corporation	0.05%
Nordstrom, Inc.	0.05%
Mosaic Company	0.05%
National Instruments Corporation	0.05%
Williams-Sonoma, Inc.	0.05%
IDACORP, Inc.	0.05%
Murphy Oil Corporation	0.05%
Axis Capital Holdings Limited	0.05%
Umpqua Holdings Corporation	0.05%
National Fuel Gas Company	0.05%
Scotts Miracle-Gro Company Class A	0.04%
LPL Financial Holdings Inc.	0.04%
WGL Holdings, Inc.	0.04%
F.N.B. Corporation	0.04%
Ryder System, Inc.	0.04%
Portland General Electric Company	0.04%
Six Flags Entertainment Corporation	0.04%
Validus Holdings, Ltd.	0.04%
Hancock Holding Company	0.04%
ONE Gas, Inc.	0.04%
Cinemark Holdings, Inc.	0.04%
ALLETE, Inc.	0.04%
Hawaiian Electric Industries, Inc.	0.04%
Southwest Gas Holdings, Inc.	0.04%
New Jersey Resources Corporation	0.04%
Extended Stay America Inc	0.04%
Spire Inc.	0.04%
United Bankshares, Inc.	0.04%
Chemical Financial Corporation	0.04%
BankUnited, Inc.	0.04%
Kennametal Inc.	0.04%
Navient Corp	0.04%
Black Hills Corporation	0.04%
BGC Partners, Inc. Class A	0.04%
PNM Resources, Inc.	0.03%
Bank of Hawaii Corporation	0.03%
Avista Corporation	0.03%
Flowers Foods, Inc.	0.03%
Timken Company	0.03%
Nu Skin Enterprises, Inc. Class A	0.03%
PBF Energy, Inc. Class A	0.03%
ILG, Inc.	0.03%
Fulton Financial Corporation	0.03%
Federated Investors, Inc. Class B	0.03%
Tupperware Brands Corporation	0.03%
Macy's Inc	0.03%
Cracker Barrel Old Country Store, Inc.	0.03%
Domtar Corporation	0.03%
Tribune Media Co. Class A	0.03%
ProAssurance Corporation	0.03%
Glacier Bancorp, Inc.	0.03%
Valley National Bancorp	0.03%
Avangrid, Inc.	0.03%
NorthWestern Corporation	0.03%
TEGNA, Inc.	0.03%
Community Bank System, Inc.	0.03%
South Jersey Industries, Inc.	0.03%
International Game Technology PLC	0.03%
Kemper Corporation	0.03%
Columbia Banking System, Inc.	0.03%
Hillenbrand, Inc.	0.03%
CVB Financial Corp.	0.03%
Hope Bancorp, Inc.	0.03%
John Wiley & Sons, Inc. Class A	0.02%
Old National Bancorp	0.02%
RLI Corp.	0.02%
GATX Corporation	0.02%
Kennedy-Wilson Holdings, Inc.	0.02%
Commercial Metals Company	0.02%
El Paso Electric Company	0.02%
American Eagle Outfitters, Inc.	0.02%
Cogent Communications Holdings Inc	0.02%
Compass Minerals International, Inc.	0.02%
Meredith Corporation	0.02%
Trustmark Corporation	0.02%
B&G Foods, Inc.	0.02%
TiVo Corp.	0.02%
BOK Financial Corporation	0.02%
Oceaneering International, Inc.	0.02%
